2025-07-02 14:49:44.534189	https://www.encodeproject.org/report/?type=File&searchTerm=encode-re2g+thresholded&output_type=thresholded+element+gene+links&status%21=archived&limit=all
ID	Title	Accession	Dataset	Genome assembly	Technical replicates	Biological replicates	File Format	File type	File format type	File size	Assay term name	Biosample name	Organ	Simple biosample summary	Batch	Target label	Download URL	Derived from	Genome annotation	Library	Paired end identifier	Paired with	Preferred Default	Run type	Read length	Mapped read length (nt)	Cropped read length (nt)	Cropped read length tolerance (nt)	Mapped run type for bam files	Read length units	Output category	Output type	Index of	QC Metric	Lab	Project	Analysis step run	Date created	Analysis step version	Restricted file	Submitter comment	Status	Annotation type	Annotation subtype	Biochemical activity	Encyclopedia version
/files/ENCFF479FYI/	ENCFF479FYI	ENCFF479FYI	/annotations/ENCSR480FCZ/	GRCh38			bed	bed bed3+	bed3+	3453434	DNase-seq	pancreas	pancreas				/files/ENCFF479FYI/@@download/ENCFF479FYI.bed.gz	/files/ENCFF850LCI/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T19:33:35.044231+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF522FGN/	ENCFF522FGN	ENCFF522FGN	/annotations/ENCSR786PKE/	GRCh38			bed	bed bed3+	bed3+	3624457	DNase-seq	dorsolateral prefrontal cortex	brain				/files/ENCFF522FGN/@@download/ENCFF522FGN.bed.gz	/files/ENCFF733IWJ/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T20:12:10.054538+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF045NOC/	ENCFF045NOC	ENCFF045NOC	/annotations/ENCSR317UNA/	GRCh38			bed	bed bed3+	bed3+	3528027	DNase-seq	dorsolateral prefrontal cortex	brain				/files/ENCFF045NOC/@@download/ENCFF045NOC.bed.gz	/files/ENCFF569KKV/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T20:12:00.590389+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF806LPC/	ENCFF806LPC	ENCFF806LPC	/annotations/ENCSR519FFR/	GRCh38			bed	bed bed3+	bed3+	3800044	DNase-seq	Peyer's patch	intestine,lymphoid tissue				/files/ENCFF806LPC/@@download/ENCFF806LPC.bed.gz	/files/ENCFF110CQM/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T19:32:06.412818+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF757NAM/	ENCFF757NAM	ENCFF757NAM	/annotations/ENCSR091VPY/	GRCh38			bed	bed bed3+	bed3+	3131663	DNase-seq	urinary bladder	urinary bladder				/files/ENCFF757NAM/@@download/ENCFF757NAM.bed.gz	/files/ENCFF393DUV/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T19:33:02.479024+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF924MLZ/	ENCFF924MLZ	ENCFF924MLZ	/annotations/ENCSR488UPD/	GRCh38			bed	bed bed3+	bed3+	3617657	DNase-seq	dorsolateral prefrontal cortex	brain				/files/ENCFF924MLZ/@@download/ENCFF924MLZ.bed.gz	/files/ENCFF657NRU/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T20:11:13.436956+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF609PDN/	ENCFF609PDN	ENCFF609PDN	/annotations/ENCSR334KPM/	GRCh38			bed	bed bed3+	bed3+	3077640	DNase-seq	tibial nerve	nerve,limb				/files/ENCFF609PDN/@@download/ENCFF609PDN.bed.gz	/files/ENCFF226HNV/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T19:33:48.696213+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF016MDH/	ENCFF016MDH	ENCFF016MDH	/annotations/ENCSR940MJO/	GRCh38			bed	bed bed3+	bed3+	3401949	DNase-seq	HT-29	colon,intestine,epithelium,large intestine				/files/ENCFF016MDH/@@download/ENCFF016MDH.bed.gz	/files/ENCFF763ASL/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T18:56:42.437551+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF614XVZ/	ENCFF614XVZ	ENCFF614XVZ	/annotations/ENCSR468UXK/	GRCh38			bed	bed bed3+	bed3+	3444464	DNase-seq	thyroid gland	thyroid gland,endocrine gland				/files/ENCFF614XVZ/@@download/ENCFF614XVZ.bed.gz	/files/ENCFF816ELY/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T19:40:00.835522+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
/files/ENCFF258PFN/	ENCFF258PFN	ENCFF258PFN	/annotations/ENCSR608WBW/	GRCh38			bed	bed bed3+	bed3+	3470357	DNase-seq	thyroid gland	thyroid gland,endocrine gland				/files/ENCFF258PFN/@@download/ENCFF258PFN.bed.gz	/files/ENCFF516ETZ/					True								annotation	thresholded element gene links			Jesse Engreitz, Stanford	ENCODE	/analysis-step-runs/75014b9f-2c64-4681-bfa1-82ee99e431f3/	2024-06-06T19:40:05.944232+00:00	/analysis-step-versions/encode-e2g-enhancer-gene-predictions-step-v-2-0/			released	element gene regulatory interaction predictions			
